iter	Logloss
0	0.6637268407
1	0.6368049817
2	0.6109810816
3	0.5879582013
4	0.5663724964
5	0.5471085442
6	0.5304002586
7	0.5153781311
8	0.5006906877
9	0.4866595073
10	0.4736509589
11	0.4619912299
12	0.451346053
13	0.4415213066
14	0.4324908326
15	0.4242906276
16	0.4171722472
17	0.4104812401
18	0.4041275676
19	0.3980457216
20	0.3923594721
21	0.3866692658
22	0.3817370494
23	0.376933658
24	0.3722630868
25	0.3683412936
26	0.364284343
27	0.3605860673
28	0.3572337952
29	0.3540578882
30	0.3517064739
31	0.3497164691
32	0.3467022413
33	0.3443705016
34	0.3419340223
35	0.3390643947
36	0.3367812994
37	0.3347176032
38	0.3337776882
39	0.3315079106
40	0.3299380712
41	0.3281550007
42	0.3266948843
43	0.3246766127
44	0.3233014323
45	0.3214808688
46	0.3203691126
47	0.3194048171
48	0.3179220727
49	0.3166120898
50	0.3154693265
51	0.3141563922
52	0.313244768
53	0.3123487179
54	0.3111959947
55	0.3100862743
56	0.3091067698
57	0.3084514605
58	0.3076589147
59	0.3067105215
60	0.3060420598
61	0.3052067763
62	0.3046265142
63	0.3037057228
64	0.303029925
65	0.302522889
66	0.3018794415
67	0.3013431348
68	0.3006265944
69	0.2999621151
70	0.2992511754
71	0.2985681183
72	0.2979499802
73	0.2969845238
74	0.2963840906
75	0.2959211548
76	0.2954132643
77	0.2947447136
78	0.2942640917
79	0.2935723902
80	0.2930422224
81	0.2925379572
82	0.2918862402
83	0.2910251574
84	0.290633818
85	0.2902501151
86	0.2893458524
87	0.2888673576
88	0.2884954011
89	0.2876778054
90	0.2872634943
91	0.2868784875
92	0.286311917
93	0.2859395598
94	0.285557615
95	0.2849899955
96	0.2845406766
97	0.2842983668
98	0.2839147756
99	0.2834559295
100	0.2830913349
101	0.2827952075
102	0.2823533862
103	0.2819078895
104	0.2811905336
105	0.2806880954
106	0.2801865754
107	0.2797680494
108	0.2794428684
109	0.2791044557
110	0.2788207451
111	0.2784019053
112	0.2778654667
113	0.277579501
114	0.2771218503
115	0.276616717
116	0.2763020308
117	0.2758706061
118	0.2756285417
119	0.2751097425
120	0.2748680571
121	0.2746248594
122	0.2743550124
123	0.2739263971
124	0.2736905076
125	0.273387845
126	0.2730437623
127	0.2728114928
128	0.2722339824
129	0.2716887827
130	0.2712788843
131	0.2709196674
132	0.2704771501
133	0.2701633923
134	0.2696869816
135	0.2694321433
136	0.2689911713
137	0.2686399368
138	0.2682503818
139	0.2679686546
140	0.2674931017
141	0.2672673281
142	0.2668267845
143	0.2666024136
144	0.2661807694
145	0.2659020818
146	0.2656399533
147	0.2650234533
148	0.2642459852
149	0.2640533589
150	0.2635800361
151	0.2633868924
152	0.2631700884
153	0.2628482074
154	0.2624782732
155	0.2621566165
156	0.2619473745
157	0.2616096262
158	0.2613566452
159	0.261084285
160	0.2608470359
161	0.2603752033
162	0.2601515672
163	0.2599955486
164	0.2597606266
165	0.2596341069
166	0.2593479753
167	0.2589846491
168	0.258617167
169	0.2582023215
170	0.2580091112
171	0.2578476275
172	0.2575459889
173	0.2571252868
174	0.2568283229
175	0.2565817002
176	0.2563028893
177	0.2560375214
178	0.2556013934
179	0.2553985382
180	0.2551046689
181	0.254934214
182	0.2544442711
183	0.2542999815
184	0.2541169089
185	0.2539977501
186	0.2535823718
187	0.2533145733
188	0.2531052705
189	0.2526851452
190	0.2522147285
191	0.2519187318
192	0.2516775843
193	0.2514584734
194	0.2511659635
195	0.2509065824
196	0.250543057
197	0.2503091059
198	0.2499187154
199	0.2496924407
200	0.2494293354
201	0.2492289556
202	0.2489622099
203	0.2487003007
204	0.2485292929
205	0.2481574925
206	0.2478142291
207	0.247486949
208	0.2472161776
209	0.246999122
210	0.2467668767
211	0.2463461028
212	0.2462089212
213	0.2460638322
214	0.2457517927
215	0.2453698332
216	0.2451636528
217	0.2449907007
218	0.2448219763
219	0.2446352265
220	0.2443265488
